CMDLINE mpiexec --oversubscribe -n 6 python run.py
CHLD 5 123.355469 1616612184.5886
MEM 755.832031 1616612184.6958
CHLD 0 123.734375 1616612184.7041
CHLD 1 124.015625 1616612184.7041
CHLD 2 123.941406 1616612184.7041
CHLD 3 124.082031 1616612184.7042
CHLD 4 124.375000 1616612184.7042
CHLD 5 123.664062 1616612184.7042
MEM 759.652344 1616612184.8174
CHLD 0 124.230469 1616612184.8234
CHLD 1 124.531250 1616612184.8234
CHLD 2 124.457031 1616612184.8234
CHLD 3 124.589844 1616612184.8234
CHLD 4 124.894531 1616612184.8235
CHLD 5 124.140625 1616612184.8235
MEM 762.218750 1616612184.9361
CHLD 0 124.632812 1616612184.9420
CHLD 1 124.968750 1616612184.9420
CHLD 2 124.898438 1616612184.9420
CHLD 3 125.031250 1616612184.9420
CHLD 4 125.289062 1616612184.9420
CHLD 5 124.589844 1616612184.9421
MEM 765.093750 1616612185.0556
CHLD 0 126.378906 1616612185.0676
CHLD 1 125.933594 1616612185.0676
CHLD 2 125.867188 1616612185.0677
CHLD 3 126.003906 1616612185.0677
CHLD 4 126.269531 1616612185.0678
CHLD 5 125.515625 1616612185.0678
MEM 784.257812 1616612185.1771
CHLD 0 128.488281 1616612185.1853
CHLD 1 128.777344 1616612185.1853
CHLD 2 128.726562 1616612185.1854
CHLD 3 128.859375 1616612185.1854
CHLD 4 129.156250 1616612185.1854
CHLD 5 128.410156 1616612185.1855
MEM 793.503906 1616612185.2941
CHLD 0 129.851562 1616612185.3005
CHLD 1 130.085938 1616612185.3006
CHLD 2 130.214844 1616612185.3006
CHLD 3 130.156250 1616612185.3006
CHLD 4 130.664062 1616612185.3006
CHLD 5 129.722656 1616612185.3007
MEM 795.300781 1616612185.4124
CHLD 0 130.226562 1616612185.4198
CHLD 1 130.460938 1616612185.4198
CHLD 2 130.406250 1616612185.4198
CHLD 3 130.542969 1616612185.4198
CHLD 4 130.753906 1616612185.4198
CHLD 5 130.101562 1616612185.4199
MEM 799.289062 1616612185.5332
CHLD 0 130.910156 1616612185.5395
CHLD 1 131.156250 1616612185.5395
CHLD 2 131.062500 1616612185.5395
CHLD 3 131.164062 1616612185.5396
CHLD 4 131.605469 1616612185.5396
CHLD 5 130.785156 1616612185.5396
MEM 801.996094 1616612185.6519
CHLD 0 131.320312 1616612185.6619
CHLD 1 131.558594 1616612185.6620
CHLD 2 131.531250 1616612185.6620
CHLD 3 131.628906 1616612185.6621
CHLD 4 131.960938 1616612185.6621
CHLD 5 131.187500 1616612185.6621
MEM 812.207031 1616612185.7758
CHLD 0 133.011719 1616612185.7819
CHLD 1 133.250000 1616612185.7820
CHLD 2 133.257812 1616612185.7820
CHLD 3 133.304688 1616612185.7820
CHLD 4 133.707031 1616612185.7820
CHLD 5 132.867188 1616612185.7820
MEM 818.937500 1616612185.8953
CHLD 0 134.175781 1616612185.9017
CHLD 1 134.382812 1616612185.9018
CHLD 2 134.351562 1616612185.9018
CHLD 3 134.414062 1616612185.9018
CHLD 4 134.773438 1616612185.9018
CHLD 5 134.031250 1616612185.9018
MEM 823.308594 1616612186.0173
CHLD 0 135.113281 1616612186.0235
CHLD 1 135.296875 1616612186.0236
CHLD 2 135.289062 1616612186.0236
CHLD 3 135.386719 1616612186.0236
CHLD 4 135.746094 1616612186.0236
CHLD 5 134.937500 1616612186.0236
MEM 829.882812 1616612186.1376
CHLD 0 135.988281 1616612186.1436
CHLD 1 136.187500 1616612186.1436
CHLD 2 136.171875 1616612186.1436
CHLD 3 136.281250 1616612186.1437
CHLD 4 136.628906 1616612186.1437
CHLD 5 135.816406 1616612186.1438
MEM 840.042969 1616612186.2528
CHLD 0 137.660156 1616612186.2598
CHLD 1 137.882812 1616612186.2598
CHLD 2 137.910156 1616612186.2598
CHLD 3 137.976562 1616612186.2599
CHLD 4 138.386719 1616612186.2599
CHLD 5 137.417969 1616612186.2599
MEM 853.324219 1616612186.3717
CHLD 0 139.832031 1616612186.3792
CHLD 1 140.136719 1616612186.3793
CHLD 2 140.152344 1616612186.3793
CHLD 3 140.171875 1616612186.3793
CHLD 4 140.570312 1616612186.3793
CHLD 5 139.652344 1616612186.3794
MEM 862.757812 1616612186.4946
CHLD 0 141.406250 1616612186.5005
CHLD 1 141.738281 1616612186.5006
CHLD 2 141.746094 1616612186.5006
CHLD 3 141.753906 1616612186.5006
CHLD 4 142.136719 1616612186.5006
CHLD 5 141.167969 1616612186.5006
MEM 875.257812 1616612186.6148
CHLD 0 143.550781 1616612186.6208
CHLD 1 143.820312 1616612186.6209
CHLD 2 143.789062 1616612186.6209
CHLD 3 143.730469 1616612186.6209
CHLD 4 144.238281 1616612186.6209
CHLD 5 143.320312 1616612186.6210
MEM 880.003906 1616612186.7375
CHLD 0 144.308594 1616612186.7492
CHLD 1 144.660156 1616612186.7493
CHLD 2 144.652344 1616612186.7493
CHLD 3 144.480469 1616612186.7494
CHLD 4 145.062500 1616612186.7494
CHLD 5 144.203125 1616612186.7495
MEM 882.113281 1616612186.8611
CHLD 0 144.707031 1616612186.8686
CHLD 1 144.953125 1616612186.8686
CHLD 2 144.945312 1616612186.8686
CHLD 3 144.847656 1616612186.8687
CHLD 4 145.355469 1616612186.8687
CHLD 5 144.496094 1616612186.8687
MEM 882.113281 1616612186.9779
CHLD 0 144.707031 1616612186.9865
CHLD 1 144.953125 1616612186.9865
CHLD 2 144.945312 1616612186.9865
CHLD 3 144.847656 1616612186.9866
CHLD 4 145.355469 1616612186.9866
CHLD 5 144.496094 1616612186.9866
MEM 888.382812 1616612187.0947
CHLD 0 145.753906 1616612187.1031
CHLD 1 145.992188 1616612187.1031
CHLD 2 145.988281 1616612187.1031
CHLD 3 145.890625 1616612187.1032
CHLD 4 146.410156 1616612187.1032
CHLD 5 145.539062 1616612187.1032
MEM 904.746094 1616612187.2158
CHLD 0 151.714844 1616612187.2229
CHLD 1 151.332031 1616612187.2230
CHLD 2 151.867188 1616612187.2230
CHLD 3 151.558594 1616612187.2230
CHLD 4 152.578125 1616612187.2230
CHLD 5 151.328125 1616612187.2230
MEM 1000.675781 1616612187.3365
CHLD 0 164.664062 1616612187.3477
CHLD 1 165.574219 1616612187.3477
CHLD 2 165.492188 1616612187.3478
CHLD 3 165.582031 1616612187.3478
CHLD 4 166.367188 1616612187.3479
CHLD 5 164.234375 1616612187.3479
MEM 1008.304688 1616612187.4617
CHLD 0 165.199219 1616612187.4688
CHLD 1 166.191406 1616612187.4688
CHLD 2 166.164062 1616612187.4688
CHLD 3 166.070312 1616612187.4688
CHLD 4 166.902344 1616612187.4689
CHLD 5 164.968750 1616612187.4689
MEM 1024.316406 1616612187.5824
CHLD 0 168.097656 1616612187.5907
CHLD 1 169.144531 1616612187.5907
CHLD 2 169.062500 1616612187.5908
CHLD 3 169.027344 1616612187.5908
CHLD 4 170.027344 1616612187.5908
CHLD 5 167.917969 1616612187.5908
MEM 1045.980469 1616612187.7023
