# x[px] 	 y[px] 	 vrms[kms] 	 erms[km/s]
2.900000000000000000e+01 3.100000000000000000e+01 2.374604468573137694e+02 2.374604468573137694e+02
3.000000000000000000e+01 3.100000000000000000e+01 2.310745077233246434e+02 2.310745077233246434e+02
3.100000000000000000e+01 3.100000000000000000e+01 2.394806961852755762e+02 2.394806961852755762e+02
3.200000000000000000e+01 3.100000000000000000e+01 2.394806961852755762e+02 2.394806961852755762e+02
3.300000000000000000e+01 3.100000000000000000e+01 2.394806961852755762e+02 2.394806961852755762e+02
3.400000000000000000e+01 3.100000000000000000e+01 2.205653724879741731e+02 2.205653724879741731e+02
3.500000000000000000e+01 3.100000000000000000e+01 2.205653724879741731e+02 2.205653724879741731e+02
3.600000000000000000e+01 3.100000000000000000e+01 2.205653724879741731e+02 2.205653724879741731e+02
3.700000000000000000e+01 3.100000000000000000e+01 2.205653724879741731e+02 2.205653724879741731e+02
2.100000000000000000e+01 3.200000000000000000e+01 2.431927146569108231e+02 2.431927146569108231e+02
2.200000000000000000e+01 3.200000000000000000e+01 2.431927146569108231e+02 2.431927146569108231e+02
2.300000000000000000e+01 3.200000000000000000e+01 2.431927146569108231e+02 2.431927146569108231e+02
2.400000000000000000e+01 3.200000000000000000e+01 2.431927146569108231e+02 2.431927146569108231e+02
2.500000000000000000e+01 3.200000000000000000e+01 2.183586294148527998e+02 2.183586294148527998e+02
2.600000000000000000e+01 3.200000000000000000e+01 2.183586294148527998e+02 2.183586294148527998e+02
2.700000000000000000e+01 3.200000000000000000e+01 2.374604468573137694e+02 2.374604468573137694e+02
2.800000000000000000e+01 3.200000000000000000e+01 2.374604468573137694e+02 2.374604468573137694e+02
2.900000000000000000e+01 3.200000000000000000e+01 2.310745077233246434e+02 2.310745077233246434e+02
3.000000000000000000e+01 3.200000000000000000e+01 2.310745077233246434e+02 2.310745077233246434e+02
3.100000000000000000e+01 3.200000000000000000e+01 2.310745077233246434e+02 2.310745077233246434e+02
3.200000000000000000e+01 3.200000000000000000e+01 2.394806961852755762e+02 2.394806961852755762e+02
3.300000000000000000e+01 3.200000000000000000e+01 2.205653724879741731e+02 2.205653724879741731e+02
3.400000000000000000e+01 3.200000000000000000e+01 2.205653724879741731e+02 2.205653724879741731e+02
3.500000000000000000e+01 3.200000000000000000e+01 2.205653724879741731e+02 2.205653724879741731e+02
3.600000000000000000e+01 3.200000000000000000e+01 2.205653724879741731e+02 2.205653724879741731e+02
3.700000000000000000e+01 3.200000000000000000e+01 2.205653724879741731e+02 2.205653724879741731e+02
2.200000000000000000e+01 3.300000000000000000e+01 2.431927146569108231e+02 2.431927146569108231e+02
2.300000000000000000e+01 3.300000000000000000e+01 2.431927146569108231e+02 2.431927146569108231e+02
2.400000000000000000e+01 3.300000000000000000e+01 2.431927146569108231e+02 2.431927146569108231e+02
2.500000000000000000e+01 3.300000000000000000e+01 2.431927146569108231e+02 2.431927146569108231e+02
2.600000000000000000e+01 3.300000000000000000e+01 2.431927146569108231e+02 2.431927146569108231e+02
2.700000000000000000e+01 3.300000000000000000e+01 2.374604468573137694e+02 2.374604468573137694e+02
2.800000000000000000e+01 3.300000000000000000e+01 2.374604468573137694e+02 2.374604468573137694e+02
2.900000000000000000e+01 3.300000000000000000e+01 2.310745077233246434e+02 2.310745077233246434e+02
3.000000000000000000e+01 3.300000000000000000e+01 2.310745077233246434e+02 2.310745077233246434e+02
3.100000000000000000e+01 3.300000000000000000e+01 2.310745077233246434e+02 2.310745077233246434e+02
3.200000000000000000e+01 3.300000000000000000e+01 2.537683399478618753e+02 2.537683399478618753e+02
3.300000000000000000e+01 3.300000000000000000e+01 2.205653724879741731e+02 2.205653724879741731e+02
3.400000000000000000e+01 3.300000000000000000e+01 2.205653724879741731e+02 2.205653724879741731e+02
3.500000000000000000e+01 3.300000000000000000e+01 2.205653724879741731e+02 2.205653724879741731e+02
3.600000000000000000e+01 3.300000000000000000e+01 2.205653724879741731e+02 2.205653724879741731e+02
3.700000000000000000e+01 3.300000000000000000e+01 2.205653724879741731e+02 2.205653724879741731e+02
2.200000000000000000e+01 3.400000000000000000e+01 2.431927146569108231e+02 2.431927146569108231e+02
2.300000000000000000e+01 3.400000000000000000e+01 2.431927146569108231e+02 2.431927146569108231e+02
2.400000000000000000e+01 3.400000000000000000e+01 2.431927146569108231e+02 2.431927146569108231e+02
2.500000000000000000e+01 3.400000000000000000e+01 2.431927146569108231e+02 2.431927146569108231e+02
2.600000000000000000e+01 3.400000000000000000e+01 2.431927146569108231e+02 2.431927146569108231e+02
2.700000000000000000e+01 3.400000000000000000e+01 2.431927146569108231e+02 2.431927146569108231e+02
2.800000000000000000e+01 3.400000000000000000e+01 2.349312132277343323e+02 2.349312132277343323e+02
2.900000000000000000e+01 3.400000000000000000e+01 2.310745077233246434e+02 2.310745077233246434e+02
3.000000000000000000e+01 3.400000000000000000e+01 2.537683399478618753e+02 2.537683399478618753e+02
3.100000000000000000e+01 3.400000000000000000e+01 2.537683399478618753e+02 2.537683399478618753e+02
3.200000000000000000e+01 3.400000000000000000e+01 2.537683399478618753e+02 2.537683399478618753e+02
3.300000000000000000e+01 3.400000000000000000e+01 2.537683399478618753e+02 2.537683399478618753e+02
3.400000000000000000e+01 3.400000000000000000e+01 2.205653724879741731e+02 2.205653724879741731e+02
3.500000000000000000e+01 3.400000000000000000e+01 2.205653724879741731e+02 2.205653724879741731e+02
3.600000000000000000e+01 3.400000000000000000e+01 2.205653724879741731e+02 2.205653724879741731e+02
2.300000000000000000e+01 3.500000000000000000e+01 2.431927146569108231e+02 2.431927146569108231e+02
2.400000000000000000e+01 3.500000000000000000e+01 2.431927146569108231e+02 2.431927146569108231e+02
2.500000000000000000e+01 3.500000000000000000e+01 2.431927146569108231e+02 2.431927146569108231e+02
2.600000000000000000e+01 3.500000000000000000e+01 2.431927146569108231e+02 2.431927146569108231e+02
2.700000000000000000e+01 3.500000000000000000e+01 2.349312132277343323e+02 2.349312132277343323e+02
2.800000000000000000e+01 3.500000000000000000e+01 2.349312132277343323e+02 2.349312132277343323e+02
2.900000000000000000e+01 3.500000000000000000e+01 2.349312132277343323e+02 2.349312132277343323e+02
3.000000000000000000e+01 3.500000000000000000e+01 2.537683399478618753e+02 2.537683399478618753e+02
3.100000000000000000e+01 3.500000000000000000e+01 2.537683399478618753e+02 2.537683399478618753e+02
3.200000000000000000e+01 3.500000000000000000e+01 2.537683399478618753e+02 2.537683399478618753e+02
3.300000000000000000e+01 3.500000000000000000e+01 2.537683399478618753e+02 2.537683399478618753e+02
3.400000000000000000e+01 3.500000000000000000e+01 2.537683399478618753e+02 2.537683399478618753e+02
3.500000000000000000e+01 3.500000000000000000e+01 2.205653724879741731e+02 2.205653724879741731e+02
