# y_px x_px vel(km/s) disp(km/s) chi2/DOF 1-sigma
6 15 -3.087110959672551189e+02 3.298377055920500993e+02 1.238403665592666014e+00 1.142403846254101119e+01
6 16 -3.302526066317844879e+02 3.394094770087708071e+02 1.358387749740712414e+00 1.357261486611461443e+01
6 17 -2.990165516167833744e+02 3.178696429623509516e+02 1.450545693040912187e+00 1.361998937187753889e+01
6 18 -3.074317094827753181e+02 3.004315767687074299e+02 1.450020586327262606e+00 1.435709354942201443e+01
6 19 -3.353276231360960082e+02 3.141466039104236643e+02 1.247858461477349357e+00 1.489391568088868389e+01
7 0 -2.909012973343625958e+02 2.934660962519807867e+02 1.550670035347739395e+00 1.711997263274106373e+01
7 1 -2.880705284344446682e+02 3.001793478059678364e+02 1.303539076414464537e+00 1.383586677489952876e+01
7 2 -3.028036387388649473e+02 3.232227239221372201e+02 1.199661749119143694e+00 1.306117645041265973e+01
7 3 -2.936422221708190250e+02 3.067425801938865106e+02 1.223006677122267627e+00 1.148643351272282764e+01
7 4 -2.993430053717883084e+02 3.308948746548176700e+02 1.260393478470711814e+00 1.145950100228201229e+01
7 5 -3.191216726995189674e+02 3.262983498187108466e+02 1.410521661883697986e+00 1.035626149023770282e+01
7 6 -3.372386105822326954e+02 3.474071499461418284e+02 1.374388997093471065e+00 9.340451987159660519e+00
7 7 -3.229795059466597422e+02 3.238202515371655181e+02 1.311673987583998446e+00 7.290352671464694012e+00
7 8 -3.288001942200862118e+02 3.368007588947097020e+02 1.398367639072498170e+00 6.519453085568337691e+00
7 9 -3.270829912221907421e+02 3.482145626575525057e+02 1.390153038680313813e+00 6.115205849295618279e+00
7 10 -3.139097451406732944e+02 3.380992536625371372e+02 1.669012504769909144e+00 6.062924730456382250e+00
7 11 -3.228591450487005545e+02 3.321132360012308595e+02 1.322394854897324112e+00 5.541743204089348396e+00
7 12 -3.289431860106927275e+02 3.334916707463941634e+02 1.424360843217576944e+00 6.512128951340400818e+00
7 13 -3.144082657547489816e+02 3.363585211699697766e+02 1.130747837647270826e+00 7.154958460403662457e+00
7 14 -3.067832330017165532e+02 3.343214268737116868e+02 1.298291286359428698e+00 9.668808237652745774e+00
7 15 -3.263487746827481715e+02 3.182494775173110497e+02 1.320104523552186437e+00 1.011225929395826739e+01
7 16 -3.065001076937508628e+02 3.162690933519732539e+02 1.273676730569256677e+00 1.179443647797567607e+01
7 17 -3.409727325960054714e+02 3.070777981491174273e+02 1.349846053206317009e+00 1.225923671743224652e+01
7 18 -3.265248894851681598e+02 2.976560629890638552e+02 1.584188708575743343e+00 1.409634526723398373e+01
7 19 -3.246220906223906582e+02 3.170141790553325905e+02 1.224000006029117626e+00 1.730283518619623351e+01
8 0 -2.781218866921093422e+02 3.130581633212481734e+02 1.390202451801438865e+00 1.633050531717739062e+01
8 1 -2.989870538819758963e+02 3.282942368525871188e+02 1.191092980048424677e+00 1.422010789865456992e+01
8 2 -3.252227003710622171e+02 3.312647336039233323e+02 1.357696533278533124e+00 1.311125409523143581e+01
8 3 -3.222722508853919408e+02 3.186204898801877334e+02 1.268886181131710922e+00 1.076856033959889558e+01
8 4 -3.308752690144861504e+02 3.098939348359216979e+02 1.159069385498099125e+00 9.442922807827907050e+00
8 5 -3.025915334052087928e+02 3.122686332080112948e+02 1.387778970856312855e+00 8.295734206458963200e+00
8 6 -3.160467181973184552e+02 3.209847025104035083e+02 1.341788680940587009e+00 7.438817855362805709e+00
8 7 -3.091321970432007333e+02 3.407803965563740007e+02 1.501856808531883969e+00 6.366789001069124154e+00
8 8 -3.224535081284505509e+02 3.576992502266969609e+02 1.713288391476916139e+00 5.752346217114813420e+00
8 9 -3.236749150034400486e+02 3.577905105859335890e+02 1.773356198717229493e+00 4.838403344406877693e+00
8 10 -3.175647369224004706e+02 3.669288108353194389e+02 1.974158410640279859e+00 5.312194154179171512e+00
8 11 -3.331954239400827191e+02 3.495720793679510621e+02 1.519882711413389043e+00 5.018967777659779195e+00
8 12 -3.249469576709140028e+02 3.480662457173556277e+02 1.479887125297623784e+00 6.270979436815110830e+00
8 13 -3.152619388741449598e+02 3.269706609359704998e+02 1.286842803516810907e+00 6.781034268002817278e+00
8 14 -3.411717498677073763e+02 3.163525856536616629e+02 1.293626664044662089e+00 7.650788677869770460e+00
8 15 -3.157920571603298754e+02 3.057386458023058822e+02 1.129394497949105958e+00 8.521788393728018107e+00
8 16 -2.784771819610482453e+02 3.480086366581505217e+02 1.327171413843559078e+00 1.213502107260708307e+01
8 17 -3.334095753345733897e+02 2.872572091271794648e+02 1.238682579888370938e+00 1.030040988988379524e+01
8 18 -2.846553031356378369e+02 3.439799756087724631e+02 1.470617922131652877e+00 1.469782303341182939e+01
8 19 -2.929376983033918691e+02 3.301218434130353216e+02 1.229782207689492424e+00 1.594282026319712386e+01
9 0 -3.100048892555236080e+02 3.224928146508659665e+02 1.394729714939935805e+00 1.770740586195072908e+01
9 1 -3.002472263144670137e+02 3.166518927643643906e+02 1.277476147235672155e+00 1.446034242787056634e+01
