_RAJ2000,_DEJ2000,_r,RA_ICRS,DE_ICRS,mode,q_mode,class,SDSS12,m_SDSS12,ObsDate,Q,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,zsp,zph,e_zph,<zph>
135.810037,0.651463,0.011815,135.810037,0.651463,2,,6,J090314.40+003905.2,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090314.40%2b003905.2,2000.34,1,22.553,0.342,20.781,0.038,19.261,0.016,18.572,0.012,18.137,0.027,,,,
135.785134,0.651319,0.013102,135.785134,0.651319,2,,3,J090308.43+003904.7,,2000.34,1,21.632,0.231,21.186,0.079,20.307,0.059,19.985,0.056,19.733,0.168,,,,
135.787699,0.652376,0.010542,135.787699,0.652376,2,,3,J090309.04+003908.5,,2000.34,1,22.344,0.494,21.935,0.178,21.11,0.14,21.083,0.174,22.0,1.259,,,,
135.789152,0.662101,0.013714,135.789152,0.662101,2,,6,J090309.39+003943.5,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090309.39%2b003943.5,2000.34,1,23.545,0.739,21.949,0.099,20.59,0.044,20.008,0.033,19.677,0.093,,,,
135.792579,0.657853,0.008265,135.792579,0.657853,2,,6,J090310.21+003928.2,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090310.21%2b003928.2,2000.34,1,24.733,1.129,21.35,0.06,19.998,0.028,19.396,0.021,19.09,0.056,,,,
135.794324,0.643654,0.00905,135.794324,0.643654,2,,6,J090310.63+003837.1,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090310.63%2b003837.1,2000.34,1,23.38,0.661,22.066,0.109,20.51,0.042,19.677,0.026,19.082,0.057,,,,
135.798233,0.651804,1.6E-5,135.798233,0.651804,2,,3,J090311.57+003906.4,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090311.57%2b003906.4,2000.34,1,26.62,0.711,20.43,0.054,18.86,0.022,18.283,0.017,17.903,0.044,,,,
135.800545,0.647729,0.004701,135.800545,0.647729,2,,3,J090312.13+003851.8,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090312.13%2b003851.8,2000.34,1,23.237,0.751,21.661,0.098,20.458,0.052,19.997,0.044,19.813,0.14,,,,
135.802036,0.646484,0.006555,135.802036,0.646484,2,,3,J090312.48+003847.3,,2000.34,1,22.302,0.428,22.185,0.195,21.208,0.133,20.804,0.122,19.991,0.217,,,,
135.803075,0.657385,0.007381,135.803075,0.657385,2,,3,J090312.73+003926.5,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090312.73%2b003926.5,2000.34,1,23.114,0.573,22.628,0.192,21.649,0.119,21.558,0.137,21.441,0.46,,,,
135.802414,0.657558,0.007104,135.802414,0.657558,2,,6,J090312.57+003927.2,,2000.34,1,24.297,1.092,23.761,0.461,22.345,0.2,21.981,0.178,22.177,0.673,,,,
135.806051,0.653756,0.00806,135.806051,0.653756,2,,3,J090313.45+003913.5,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090313.45%2b003913.5,2000.34,1,21.778,0.224,20.733,0.045,19.922,0.035,19.627,0.034,19.423,0.104,,,,
135.805852,0.657721,0.009642,135.805852,0.657721,2,,3,J090313.40+003927.7,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090313.40%2b003927.7,2000.34,1,24.473,1.31,22.56,0.2,21.737,0.144,21.13,0.105,20.955,0.343,,,,
135.796002,0.638418,0.013584,135.796002,0.638418,2,,3,J090311.04+003818.3,,2000.34,1,22.338,0.443,22.35,0.228,20.773,0.091,20.052,0.061,19.815,0.185,,,,
135.808832,0.655168,0.011121,135.808832,0.655168,2,,3,J090314.11+003918.6,,2000.34,1,23.826,1.907,22.358,0.307,20.598,0.101,20.086,0.082,19.549,0.194,,,,
135.791437,0.646383,0.008698,135.791437,0.646383,2,,3,J090309.94+003846.9,,2000.34,1,23.329,1.101,23.153,0.491,21.589,0.198,21.126,0.166,20.629,0.392,,,,
135.801009,0.661951,0.010507,135.801009,0.661951,2,,3,J090312.24+003943.0,,2000.34,1,24.004,1.371,22.962,0.347,21.747,0.189,20.879,0.112,20.147,0.22,,,,
135.796705,0.658864,0.007208,135.796705,0.658864,2,,6,J090311.20+003931.9,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090311.20%2b003931.9,2000.9157,3,17.797,0.01,16.263,0.003,15.707,0.003,15.503,0.003,15.403,0.005,,,,
135.797652,0.657709,0.005918,135.797652,0.657709,2,,6,J090311.43+003927.7,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090311.43%2b003927.7,2000.9157,3,24.655,0.912,21.888,0.087,20.345,0.032,18.961,0.017,18.137,0.027,,,,
135.788866,0.659082,0.011848,135.788866,0.659082,2,,6,J090309.32+003932.6,,2000.9157,3,19.91,0.035,18.614,0.008,18.173,0.007,18.025,0.009,17.96,0.023,,,,
135.801552,0.652372,0.00337,135.801552,0.652372,2,,6,J090312.37+003908.5,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090312.37%2b003908.5,2000.9157,3,19.53,0.027,19.08,0.01,19.098,0.013,19.028,0.017,18.811,0.047,,,,
135.802972,0.654143,0.005283,135.802972,0.654143,2,,3,J090312.71+003914.9,,2000.9157,3,24.448,1.343,21.509,0.088,20.062,0.036,19.471,0.035,19.04,0.088,,,,
135.800992,0.650949,0.002898,135.800992,0.650949,2,,6,J090312.23+003903.4,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090312.23%2b003903.4,2000.9157,3,23.72,0.702,24.133,0.568,21.806,0.113,21.302,0.12,21.628,0.54,,,,
135.800556,0.654064,0.003235,135.800556,0.654064,2,,3,J090312.13+003914.6,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090312.13%2b003914.6,2000.9157,3,23.904,1.0,22.406,0.179,21.576,0.121,20.992,0.12,21.319,0.567,,,,
135.804181,0.648708,0.006717,135.804181,0.648708,2,,6,J090313.00+003855.3,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090313.00%2b003855.3,2000.9157,3,22.088,0.185,19.309,0.012,17.918,0.006,17.009,0.005,16.482,0.009,,,,
135.80398,0.649948,0.006049,135.80398,0.649948,2,,3,J090312.95+003859.8,,2000.9157,3,22.685,0.885,20.539,0.073,19.772,0.055,20.075,0.124,21.088,1.085,,,,
135.793275,0.652701,0.00503,135.793275,0.652701,2,,6,J090310.38+003909.7,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090310.38%2b003909.7,2000.9157,3,23.492,0.575,20.222,0.022,18.974,0.012,18.424,0.011,18.061,0.026,,,,
135.810025,0.651466,0.011803,135.810025,0.651466,2,,6,J090314.40+003905.2,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090314.40%2b003905.2,2000.9157,3,23.527,0.589,20.802,0.035,19.292,0.014,18.582,0.012,18.176,0.028,,,,
135.785098,0.65133,0.013137,135.785098,0.65133,2,,3,J090308.42+003904.7,,2000.9157,3,21.625,0.171,21.035,0.056,20.287,0.042,20.052,0.056,19.663,0.147,,,,
135.806061,0.653735,0.008064,135.806061,0.653735,2,,3,J090313.45+003913.4,,2000.9157,3,21.468,0.133,20.65,0.036,19.959,0.028,19.695,0.036,19.346,0.094,,,,
135.787712,0.652433,0.010532,135.787712,0.652433,2,,3,J090309.05+003908.7,,2000.9157,3,22.187,0.292,21.985,0.133,21.349,0.109,21.168,0.158,20.929,0.461,,,,
135.789149,0.662094,0.01371,135.789149,0.662094,2,,6,J090309.39+003943.5,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090309.39%2b003943.5,2000.9157,3,23.86,0.725,22.121,0.102,20.681,0.041,20.094,0.04,19.632,0.093,,,,
