# y_px 	 x_px 	 Bin_Id
 34.000000  33.000000        3
 34.000000  34.000000        4
 34.000000  35.000000        4
 34.000000  36.000000        5
 34.000000  37.000000        5
 34.000000  38.000000        6
 34.000000  39.000000        6
 34.000000  40.000000        7
 35.000000  19.000000        6
 35.000000  20.000000        6
 35.000000  21.000000        5
 35.000000  22.000000        5
 35.000000  23.000000        4
 35.000000  24.000000        4
 35.000000  25.000000        3
 35.000000  26.000000        3
 35.000000  27.000000        3
 35.000000  28.000000        3
 35.000000  29.000000        3
 35.000000  30.000000        3
 35.000000  31.000000        3
 35.000000  32.000000        3
 35.000000  33.000000        4
 35.000000  34.000000        4
 35.000000  35.000000        4
 35.000000  36.000000        5
 35.000000  37.000000        5
 35.000000  38.000000        6
 35.000000  39.000000        6
 36.000000  19.000000        6
 36.000000  20.000000        6
 36.000000  21.000000        5
 36.000000  22.000000        5
 36.000000  23.000000        4
 36.000000  24.000000        4
 36.000000  25.000000        4
 36.000000  26.000000        3
 36.000000  27.000000        3
 36.000000  28.000000        3
 36.000000  29.000000        3
 36.000000  30.000000        3
 36.000000  31.000000        3
 36.000000  32.000000        4
 36.000000  33.000000        4
 36.000000  34.000000        4
 36.000000  35.000000        5
 36.000000  36.000000        5
 36.000000  37.000000        6
 36.000000  38.000000        6
 36.000000  39.000000        7
 37.000000  20.000000        6
 37.000000  21.000000        6
 37.000000  22.000000        5
 37.000000  23.000000        5
 37.000000  24.000000        4
 37.000000  25.000000        4
 37.000000  26.000000        4
 37.000000  27.000000        4
 37.000000  28.000000        4
 37.000000  29.000000        4
 37.000000  30.000000        4
 37.000000  31.000000        4
 37.000000  32.000000        4
 37.000000  33.000000        4
 37.000000  34.000000        5
 37.000000  35.000000        5
 37.000000  36.000000        6
 37.000000  37.000000        6
 37.000000  38.000000        7
 38.000000  20.000000        6
 38.000000  21.000000        6
 38.000000  22.000000        5
 38.000000  23.000000        5
 38.000000  24.000000        5
 38.000000  25.000000        4
 38.000000  26.000000        4
 38.000000  27.000000        4
 38.000000  28.000000        4
 38.000000  29.000000        4
 38.000000  30.000000        4
 38.000000  31.000000        4
 38.000000  32.000000        5
 38.000000  33.000000        5
 38.000000  34.000000        5
 38.000000  35.000000        6
 38.000000  36.000000        6
 38.000000  37.000000        6
 38.000000  38.000000        7
 39.000000  21.000000        6
 39.000000  22.000000        6
 39.000000  23.000000        5
 39.000000  24.000000        5
 39.000000  25.000000        5
 39.000000  26.000000        5
 39.000000  27.000000        5
 39.000000  28.000000        5
 39.000000  29.000000        5
 39.000000  30.000000        5
 39.000000  31.000000        5
 39.000000  32.000000        5
 39.000000  33.000000        5
 39.000000  34.000000        6
 39.000000  35.000000        6
 39.000000  36.000000        6
 39.000000  37.000000        7
 40.000000  21.000000        7
 40.000000  22.000000        6
 40.000000  23.000000        6
 40.000000  24.000000        6
 40.000000  25.000000        5
 40.000000  26.000000        5
 40.000000  27.000000        5
 40.000000  28.000000        5
 40.000000  29.000000        5
 40.000000  30.000000        5
 40.000000  31.000000        5
 40.000000  32.000000        5
 40.000000  33.000000        6
 40.000000  34.000000        6
 40.000000  35.000000        6
 41.000000  22.000000        7
 41.000000  23.000000        6
 41.000000  24.000000        6
 41.000000  25.000000        6
 41.000000  26.000000        6
 41.000000  27.000000        6
 41.000000  28.000000        6
 41.000000  29.000000        6
 41.000000  30.000000        6
 41.000000  31.000000        6
 41.000000  32.000000        6
 41.000000  33.000000        6
 42.000000  23.000000        7
 42.000000  24.000000        7
 42.000000  25.000000        6
 42.000000  26.000000        6
 42.000000  27.000000        6
 42.000000  28.000000        6
 42.000000  29.000000        6
 42.000000  30.000000        6
 42.000000  31.000000        6
 42.000000  32.000000        6
 42.000000  33.000000        7
 43.000000  24.000000        7
 43.000000  25.000000        7
 43.000000  26.000000        7
 43.000000  27.000000        7
 43.000000  28.000000        7
 43.000000  29.000000        7
 43.000000  30.000000        7
 44.000000  28.000000        7
