# y_px x_px vel(km/s) disp(km/s) chi2/DOF dV dsigma
5 1 -2.993776189568899326e+02 3.173154559944529751e+02 9.999999479812865522e-01 1.689844804179065108e+01 1.646242060309324984e+01
5 2 -2.853604085464349396e+02 2.842238069276237411e+02 9.999999595890264326e-01 1.434059628098733974e+01 1.381895366159588079e+01
5 3 -3.174813899524550607e+02 2.974766359859219733e+02 1.000000037339373371e+00 1.439220634702055079e+01 1.414813461307255338e+01
5 4 -3.103328907562095083e+02 3.149396445796884905e+02 1.000000016827937266e+00 1.358472065383038618e+01 1.314101813945216080e+01
5 5 -3.445538171691627554e+02 3.276309664884083759e+02 9.999999677838175005e-01 1.308793636931540760e+01 1.277986979412691326e+01
5 6 -2.768551400578833181e+02 3.215638192130262496e+02 1.000000007272743963e+00 1.184416595307131814e+01 1.095799099267622623e+01
5 7 -3.164305545262695318e+02 3.220910784033281971e+02 9.999999505023536850e-01 1.082714258973083687e+01 1.055527788339483664e+01
5 8 -2.930960463280079011e+02 2.990023538912878394e+02 9.999999942597874725e-01 9.001752277173268979e+00 8.763925704667325789e+00
5 9 -3.229491017483852033e+02 3.258932316186287039e+02 1.000000023400480442e+00 9.809852021598029381e+00 9.296477096981814014e+00
5 10 -3.225443102318899378e+02 3.213108039335107264e+02 1.000000041819828489e+00 9.092486684983178691e+00 8.579323377288091024e+00
5 11 -3.191144803906746574e+02 3.407000576037098654e+02 1.000000012211453182e+00 9.728237510092634821e+00 9.008484984426727848e+00
5 12 -3.221463998032338054e+02 3.487186683173615052e+02 1.000000031196924377e+00 1.097783085785957802e+01 1.071527149518014355e+01
5 13 -3.106234985985219055e+02 3.143411427721058544e+02 9.999999733958032655e-01 9.353429088000440927e+00 9.143606708554642637e+00
5 14 -3.101557667329670949e+02 3.292655527310654406e+02 9.999999928877832955e-01 1.174727432906272462e+01 1.121431401065043687e+01
5 15 -3.142738565975896563e+02 2.887630731128977004e+02 9.999999521882388942e-01 1.148082148940128988e+01 1.115486686216886625e+01
5 16 -3.163114942234251430e+02 3.331645552219938509e+02 9.999999698819540539e-01 1.528478341634981241e+01 1.433596094378874675e+01
5 17 -2.864667285744057494e+02 3.010573185999576822e+02 1.000000005260240465e+00 1.416210129934188267e+01 1.379931813625202253e+01
5 18 -2.872163622116419219e+02 2.980131112563729516e+02 1.000000019552908848e+00 1.415002774055559875e+01 1.389072231097434873e+01
5 19 -3.108546557010312767e+02 3.363321911921675564e+02 9.999999511773873806e-01 2.040585180224334039e+01 1.995923228554042694e+01
6 0 -3.373332608132464543e+02 3.180089590211616724e+02 9.999999911599202207e-01 1.877937307476292972e+01 1.796414412774584335e+01
6 1 -3.235175204250709271e+02 3.297456789181696308e+02 9.999999605530514035e-01 1.664571399212185554e+01 1.622195227021097708e+01
6 2 -3.472745717938767029e+02 3.413757575828775543e+02 9.999999802197725440e-01 1.745561892163970796e+01 1.689235419686459494e+01
6 3 -3.072643563850128317e+02 3.231184147650209866e+02 9.999999468210246656e-01 1.515204332893865313e+01 1.468188273713998093e+01
6 4 -3.313750596671404764e+02 3.439469792826902221e+02 9.999999690581484746e-01 1.332189243566503123e+01 1.308708221418236128e+01
6 5 -3.187929031195369021e+02 3.346522276638187350e+02 9.999999644375017205e-01 1.197876727791994611e+01 1.171239032275721748e+01
6 6 -3.371623913711608225e+02 3.279421195153815347e+02 9.999999827694795451e-01 1.067807701964703604e+01 1.013365462699287178e+01
6 7 -3.113249023680521645e+02 3.283057738215418908e+02 1.000000015633667472e+00 8.965662823864292363e+00 8.356154159527692471e+00
6 8 -3.292223869355490820e+02 3.507247821215606791e+02 1.000000036800794190e+00 8.266401199732632321e+00 8.023666990904295915e+00
6 9 -3.299197098272783251e+02 3.311697141115549243e+02 1.000000008609868596e+00 7.418795645043380738e+00 7.150686263789988395e+00
6 10 -2.991195716018839903e+02 3.312416624943050465e+02 1.000000046199008841e+00 7.034425926982748045e+00 6.604497118991834448e+00
6 11 -3.217566425811256181e+02 3.209342911075778488e+02 9.999999905957779323e-01 7.369334950381050575e+00 6.858548835045776393e+00
6 12 -3.230883429854418409e+02 3.093722626130452795e+02 9.999999818269449392e-01 7.486560504239706759e+00 7.353074329889056848e+00
6 13 -3.236402836991596246e+02 3.073903957704745267e+02 1.000000003428885398e+00 8.581851289601347688e+00 8.352639453452658458e+00
6 14 -3.105541258380043246e+02 3.168360496238787505e+02 9.999999944967918886e-01 9.306667666394883298e+00 8.999860625188594199e+00
6 15 -3.087110987009704104e+02 3.298377077767114542e+02 9.999999810962291180e-01 1.181330182783860394e+01 1.142403905048162827e+01
6 16 -3.302526050375664113e+02 3.394094779597588172e+02 1.000000014041322993e+00 1.431120765702855024e+01 1.357261482573517597e+01
6 17 -2.990165492481560818e+02 3.178696405364727298e+02 1.000000000990362015e+00 1.389878461420399169e+01 1.361998971963371474e+01
6 18 -3.074317112180822278e+02 3.004315782094935230e+02 1.000000033057603543e+00 1.526185081752478290e+01 1.435709416544437289e+01
6 19 -3.353276171579498737e+02 3.141466001469975140e+02 1.000000030436064558e+00 1.554917673343537210e+01 1.489391635422303573e+01
7 0 -2.909012952419079170e+02 2.934660929994318508e+02 9.999999939922656900e-01 1.762242109518521715e+01 1.711997262329500202e+01
7 1 -2.880705246176784726e+02 3.001793469711583953e+02 1.000000055023184675e+00 1.407490171362372777e+01 1.383586693730939388e+01
7 2 -3.028036415376211608e+02 3.232227215472187254e+02 1.000000032009819240e+00 1.363808053201971049e+01 1.306117599027666287e+01
7 3 -2.936422227157303837e+02 3.067425787795428391e+02 9.999999561054747632e-01 1.191481097387687171e+01 1.148643288222439018e+01
7 4 -2.993430061392942889e+02 3.308948725382372800e+02 9.999999732962705501e-01 1.242146240726048134e+01 1.145950041235838590e+01
7 5 -3.191216713136359999e+02 3.262983487616107823e+02 1.000000023223329926e+00 1.076610468505081109e+01 1.035626160238596150e+01
7 6 -3.372386125099428114e+02 3.474071508168463538e+02 9.999999529625064332e-01 9.649095814640896052e+00 9.340452208045080695e+00
7 7 -3.229795053196743879e+02 3.238202521019192091e+02 9.999999994020492000e-01 7.559813971342554062e+00 7.290352583320512281e+00
7 8 -3.288001940457561432e+02 3.368007583553547306e+02 9.999999959963663532e-01 6.638837887478527655e+00 6.519453489982256933e+00
7 9 -3.270829901595901106e+02 3.482145629210982634e+02 9.999999993622663563e-01 6.269588936246261568e+00 6.115205894280757448e+00
7 10 -3.139097445506977806e+02 3.380992547824683356e+02 9.999999541012216664e-01 6.281037262713080160e+00 6.062924521581815718e+00
7 11 -3.228591454136338257e+02 3.321132356257824085e+02 1.000000019811240204e+00 5.725979730228260678e+00 5.541743069270728128e+00
7 12 -3.289431861050258021e+02 3.334916708367196634e+02 9.999999679654104634e-01 6.704929535959779585e+00 6.512128612294019625e+00
7 13 -3.144082659519373806e+02 3.363585226770650820e+02 1.000000030333360934e+00 7.326701948975155254e+00 7.154958739477897289e+00
7 14 -3.067832332074020201e+02 3.343214283166958580e+02 9.999999583245994250e-01 9.914767421302334682e+00 9.668808349784908884e+00
7 15 -3.263487765494849100e+02 3.182494799614615317e+02 1.000000033594678150e+00 1.051542527225741352e+01 1.011225952839705577e+01
7 16 -3.065001082569846744e+02 3.162690920612738523e+02 9.999999587792306466e-01 1.218630159430800397e+01 1.179443575846319625e+01
7 17 -3.409727325374608427e+02 3.070777982952388356e+02 1.000000042731232774e+00 1.248455157175233410e+01 1.225923593684241730e+01
7 18 -3.265248911956826987e+02 2.976560644476856510e+02 1.000000006712226774e+00 1.438604565583739969e+01 1.409634578204432742e+01
7 19 -3.246220920005919197e+02 3.170141789342628726e+02 1.000000017098187755e+00 1.768135821765215354e+01 1.730283523083891595e+01
8 0 -2.781218854354294763e+02 3.130581621631534972e+02 1.000000026376711260e+00 1.727937326726277334e+01 1.633050579438603123e+01
8 1 -2.989870556842185465e+02 3.282942390045874390e+02 1.000000011281726220e+00 1.451888737909388993e+01 1.422010804803323936e+01
8 2 -3.252227019165034676e+02 3.312647389213400970e+02 1.000000002778105523e+00 1.360419345294550908e+01 1.311125441263725655e+01
8 3 -3.222722513343431956e+02 3.186204899848759737e+02 9.999999806486644660e-01 1.155338330705905214e+01 1.076855952466328858e+01
8 4 -3.308752687714404033e+02 3.098939354403017887e+02 9.999999586092254145e-01 9.737344163756530335e+00 9.442922424540233450e+00
8 5 -3.025915309069625891e+02 3.122686344473469831e+02 9.999999731033422101e-01 8.622812336790707022e+00 8.295734394834354930e+00
8 6 -3.160467182460341746e+02 3.209847020484259588e+02 1.000000003281538818e+00 7.681269844870777241e+00 7.438817927265467311e+00
8 7 -3.091321956181594146e+02 3.407803973038342633e+02 1.000000014789625302e+00 6.687026799432662649e+00 6.366788869303159792e+00
8 8 -3.224535090328172373e+02 3.576992497469182126e+02 9.999999655601061743e-01 5.996223618651920440e+00 5.752346372373409622e+00
8 9 -3.236749142639085903e+02 3.577905098508474566e+02 9.999999818741269753e-01 5.066916179599645353e+00 4.838403429963396007e+00
8 10 -3.175647376138539357e+02 3.669288102405228074e+02 9.999999962323272706e-01 5.447905381076554754e+00 5.312194429731022183e+00
8 11 -3.331954247610148627e+02 3.495720788412148181e+02 1.000000011940980649e+00 5.120616781014049046e+00 5.018967907586755928e+00
8 12 -3.249469577080620866e+02 3.480662442926539484e+02 9.999999885942478794e-01 6.384916158723832780e+00 6.270979580146540222e+00
8 13 -3.152619402238278212e+02 3.269706610978016101e+02 9.999999714847550569e-01 6.987462384979311381e+00 6.781034411915456417e+00
8 14 -3.411717490501884527e+02 3.163525851393820858e+02 9.999999875492111556e-01 7.878317304935773535e+00 7.650788681864255203e+00
8 15 -3.157920559412222588e+02 3.057386458066566206e+02 9.999999779266092181e-01 8.817798001890681192e+00 8.521788828265794535e+00
8 16 -2.784771781470620908e+02 3.480086390121365980e+02 9.999999947767768127e-01 1.276978521769921215e+01 1.213502096713752820e+01
8 17 -3.334095699010421185e+02 2.872572130694583166e+02 9.999999909997071557e-01 1.043653174359486435e+01 1.030040963707864066e+01
8 18 -2.846553120586560226e+02 3.439799686909210550e+02 1.000000011676245082e+00 1.548476029954022692e+01 1.469782088799087916e+01
8 19 -2.929376989612468378e+02 3.301218395189818011e+02 9.999999964321329982e-01 1.619520593782329598e+01 1.594282052716305920e+01
9 0 -3.100048926437166301e+02 3.224928128658786477e+02 9.999999900018500254e-01 1.817726029738485494e+01 1.770740625735470886e+01
9 1 -3.002472310376486462e+02 3.166518943560969319e+02 9.999999567138574408e-01 1.484719277946751959e+01 1.446034243966867372e+01
9 2 -3.269432809973753820e+02 3.165954603825102254e+02 1.000000021393664618e+00 1.334442722341275278e+01 1.288566695732536971e+01
9 3 -3.236733052195316986e+02 3.356895868577530564e+02 9.999999738791676140e-01 1.181583515207550938e+01 1.133445700282039681e+01
9 4 -2.782489842839813718e+02 3.151608748825394173e+02 1.000000037150330590e+00 8.985065343505690194e+00 8.578925299043094199e+00
9 5 -2.990008724941249625e+02 3.280715932067455469e+02 9.999999995851102108e-01 8.952674252465136817e+00 8.388684812610257779e+00
9 6 -3.060779626650596583e+02 3.331434195005860488e+02 9.999999565101234111e-01 6.281277470949022224e+00 6.177603561857868186e+00
9 7 -3.216754917345436411e+02 3.344051322794429666e+02 1.000000003354172717e+00 6.116352302468906821e+00 5.907470050458154986e+00
9 8 -3.167430129068451947e+02 3.559091863405238314e+02 9.999999930796968917e-01 5.209016812749977632e+00 5.073524519475037131e+00
9 9 -3.146555638816502665e+02 3.859822763798753726e+02 9.999999983628263811e-01 4.710332288058200589e+00 4.656786082111165292e+00
9 10 -3.215145134578358466e+02 3.819736336608326042e+02 1.000000030033290965e+00 5.073828330482927029e+00 5.029581381253844796e+00
9 11 -3.212547502196161986e+02 3.518021461223510187e+02 9.999999820019821462e-01 5.659582792185291922e+00 5.541294505911065649e+00
9 12 -3.089714204867169087e+02 3.331921694622421342e+02 1.000000001383497761e+00 5.975893394994854724e+00 5.820288689312891783e+00
